,Ubicazione,Circoscrizione,Provincia,Municipio,Full Address,Latitude,Longitude,Community ID Coaliione 1,Community ID Coaliione 2,Community ID Coaliione 3,Quartiere,Media Voti Coal 1,Media Voti Coal 2,Media Voti Coal 3,Popolazione residente totale,Indice di vecchiaia,Incidenza dei giovani fino a 24 anni,Indice di non completamento del ciclo di scuola secondaria di primo grado,Indice di adulti con diploma o titolo terziario,Tasso di occupazione (20-64 anni),Tasso di disoccupazione (15 anni e più),Incidenza dei giovani che non studiano e non lavorano,Incidenza delle famiglie con potenziale disagio economico,Tasso di alloggi impropri,"Incidenza percentuale della popolazione di 67 anni  e oltre che vive da sola, senza casa di proprietà ",Percentuale di famiglie che non vivono in abitazione di proprietà,"Incidenza percentuale di lavoratori precari  35-64 anni che hanno un rapporto di lavoro dipendente di tipo ""interinale"" o ""occasionale"" sul totale degli occupati 35-64 anni","Uscita precoce dal sistema di istruzione (18-24 anni, totale) ",Indice di affollamento delle abitazioni occupate,Ospedali con pronto soccorso
0,VIA DIVISIONE AQUI N. 20 (prol.Via Peucetia) -succ. ist SANTARELLA,V - Japigia – Torre a Mare,8,1,VIA DIVISIONE AQUI N. 20 (prol.Via Peucetia) ,4111.91746058732,1690.11203237531,5,0,0,Japigia,0.5188284518828452,0.2006269592476489,0.1897435897435897,29903,251.78885630498536,20.442764939972577,3.3139816158684083,66.17337542751908,60.453035336756265,10.72058623584167,20.650566781665844,1.9221642145230187,0.08794371602174608,6.662379421221864,29.552286030691345,1.491028556987617,12.76595744680851,0.3908971140548087,0
1,TORRE A MARE-LARGO LEOPARDI N. 5 -edificio scolastico,V - Japigia – Torre a Mare,23,1,LARGO LEOPARDI N. 5 ,4108.716095968071,1699.90227256067,5,2,0,Torre a Mare,1.100418410041841,0.231974921630094,0.4717948717948718,6257,163.2754342431762,21.831548665494648,4.414320472714634,66.993006993007,60.41397153945667,11.65661718904949,22.531939605110338,2.971311475409836,0.06901311249137336,11.14864864864865,37.63661202185792,1.01931330472103,10.687022900763358,0.3795955882352941,0
2,TORRE A MARE-LARGO LEOPARDI N. 5 -edificio scolastico,V - Japigia – Torre a Mare,23,1,LARGO LEOPARDI N. 5 ,4108.716095968071,1699.90227256067,5,1,0,Torre a Mare,0.9079497907949791,0.2068965517241379,0.4974358974358974,6257,163.2754342431762,21.831548665494648,4.414320472714634,66.993006993007,60.41397153945667,11.65661718904949,22.531939605110338,2.971311475409836,0.06901311249137336,11.14864864864865,37.63661202185792,1.01931330472103,10.687022900763358,0.3795955882352941,0
3,TORRE A MARE-LARGO LEOPARDI N. 5 -edificio scolastico,V - Japigia – Torre a Mare,23,1,LARGO LEOPARDI N. 5 ,4108.641,1699.842,5,0,0,Torre a Mare,1.343096234309623,0.2539184952978056,0.676923076923077,6257,163.2754342431762,21.831548665494648,4.414320472714634,66.993006993007,60.41397153945667,11.65661718904949,22.531939605110338,2.971311475409836,0.06901311249137336,11.14864864864865,37.63661202185792,1.01931330472103,10.687022900763358,0.3795955882352941,0
4,TORRE A MARE-VIA MARTIRI DELLA RESISTENZA S.N. -ed.scol.- MAMELI,V - Japigia – Torre a Mare,23,1,VIA MARTIRI DELLA RESISTENZA S.N. ,4108.757791773401,1699.45090391004,5,3,3,Torre a Mare,0.7112970711297071,0.2978056426332288,0.3179487179487179,6257,163.2754342431762,21.831548665494648,4.414320472714634,66.993006993007,60.41397153945667,11.65661718904949,22.531939605110338,2.971311475409836,0.06901311249137336,11.14864864864865,37.63661202185792,1.01931330472103,10.687022900763358,0.3795955882352941,0
5,TORRE A MARE-VIA MARTIRI DELLA RESISTENZA S.N. -ed.scol.- MAMELI,V - Japigia – Torre a Mare,23,1,VIA MARTIRI DELLA RESISTENZA S.N. ,4108.757791773401,1699.45090391004,1,3,0,Torre a Mare,0.8075313807531381,0.219435736677116,0.5076923076923077,6257,163.2754342431762,21.831548665494648,4.414320472714634,66.993006993007,60.41397153945667,11.65661718904949,22.531939605110338,2.971311475409836,0.06901311249137336,11.14864864864865,37.63661202185792,1.01931330472103,10.687022900763358,0.3795955882352941,0
6,VIA  FORNARI N. 6 - scuola media G. MODUGNO,IX - Murat – San Nicola,1,1,VIA  FORNARI N. 6 ,4110.209,1686.529,3,1,0,Murat,0.5481171548117155,0.4012539184952978,0.2,23141,248.22415153906866,20.007778401970526,5.034095467308464,76.6876687668767,64.81258467559837,9.724664814101507,19.07996295152825,2.3231712583124624,0.26366672525927226,9.985959985959985,30.693496847741603,0.6982046166999145,11.708645336963922,0.3520652040691261,0
7,VIA CALDAROLA N. 61 (poliv.) -istit. tec. Nautico- CARACCIOLO,V - Japigia – Torre a Mare,8,1,VIA CALDAROLA N. 61,4110.06079368068,1691.35422544428,5,3,0,Japigia,0.8828451882845189,0.2037617554858934,0.3743589743589744,29903,251.78885630498536,20.442764939972577,3.3139816158684083,66.17337542751908,60.453035336756265,10.72058623584167,20.650566781665844,1.9221642145230187,0.08794371602174608,6.662379421221864,29.552286030691345,1.491028556987617,12.76595744680851,0.3908971140548087,0
8,VIA CALDAROLA N. 59 (poliv.) -istit. tec. comm.le- LENOCI (sede),V - Japigia – Torre a Mare,8,1,VIA CALDAROLA N. 59 ,4110.06079368068,1691.35422544428,5,3,0,Japigia,1.376569037656904,0.2758620689655172,0.4717948717948718,29903,251.78885630498536,20.442764939972577,3.3139816158684083,66.17337542751908,60.453035336756265,10.72058623584167,20.650566781665844,1.9221642145230187,0.08794371602174608,6.662379421221864,29.552286030691345,1.491028556987617,12.76595744680851,0.3908971140548087,0
9,VIA CALDAROLA N. 59 (poliv.) -istit. tec. comm.le- LENOCI (sede),V - Japigia – Torre a Mare,8,1,VIA CALDAROLA N. 59 (poliv.) ,4110.06079368068,1691.35422544428,5,0,0,Japigia,1.305439330543933,0.2633228840125392,0.5641025641025641,29903,251.78885630498536,20.442764939972577,3.3139816158684083,66.17337542751908,60.453035336756265,10.72058623584167,20.650566781665844,1.9221642145230187,0.08794371602174608,6.662379421221864,29.552286030691345,1.491028556987617,12.76595744680851,0.3908971140548087,0
